participant,trial,condition,prompt_type,prompt,typed,ms,wpm,cer,backspaces,repair_ms
Tiffany,77,OFF,HARD,mnemonic trick,mnemonic trick,5583,30.09,0.0,0,0
Tiffany,78,AUTO,EASY,table chart,tale chart,2797,42.9,0.0909,0,0
Tiffany,79,OFF,EASY,clear results,clear results,3663,42.59,0.0,0,0
Tiffany,80,AUTO,EASY,table chart,tale chart,2913,41.2,0.0909,0,0
Tiffany,81,OFF,HARD,bricolage build,bricolage build,4584,39.27,0.0,0,0
Tiffany,82,OFF,HARD,ukulele rhythm,ukulele rhythm,5298,31.71,0.0,0,0
Tiffany,83,OFF,HARD,afficionados meet,afficionados meet,6880,29.65,0.0,0,0
Tiffany,84,AUTO,EASY,clean data,clean data,2836,42.32,0.0,0,0
Tiffany,85,OFF,HARD,syzygy test,syzygy test,6942,19.01,0.0,0,0
Tiffany,86,OFF,HARD,chiaroscuro art,chiaroscuro art,5836,30.84,0.0,0,0
Tiffany,87,AUTO,HARD,ukulele rhythm,ukulele rhythm,5436,30.91,0.0,0,0
Tiffany,88,AUTO,HARD,queueing theory,queueing theory,7875,22.86,0.0,0,0
Tiffany,89,OFF,EASY,clean data,clean data,2720,44.12,0.0,0,0
Tiffany,90,AUTO,HARD,coalesce soon,coalesce soon,4968,31.4,0.0,0,0
Tiffany,91,AUTO,EASY,code review,code review,2735,48.26,0.0,0,0
Tiffany,92,OFF,EASY,duke pratt,duke pratt,3118,38.49,0.0,0,0
Tiffany,93,OFF,EASY,data science,data science,2886,49.89,0.0,0,0
Tiffany,94,OFF,EASY,campus life,campus life,3364,39.23,0.0,0,0
Tiffany,95,AUTO,HARD,queueing theory,queueing theory,11831,15.21,0.0,5,7983
Tiffany,96,AUTO,EASY,project status,project status,4590,36.6,0.0,0,0
Tiffany,97,AUTO,EASY,clear results,clear results,3529,44.21,0.0,0,0
Tiffany,98,OFF,EASY,clean data,clean data,3044,39.42,0.0,0,0
Tiffany,99,OFF,HARD,apocryphal tale,apocryphal tale,5764,31.23,0.0,0,0
Tiffany,100,AUTO,HARD,quixotic goal,quixotic goal,6500,24.0,0.0,0,0
Tiffany,101,AUTO,EASY,write code,write code,5951,20.17,0.0,2,4225
Tiffany,102,OFF,EASY,clear results,clear results,5077,30.72,0.0,0,0
Tiffany,103,AUTO,HARD,aegis of order,aegis of order,4043,41.56,0.0,0,0
Tiffany,104,OFF,HARD,hors d'oeuvre prep,hors d'oeuvre prep,7800,27.69,0.0,0,0
Tiffany,105,OFF,EASY,good morning,good morning,3046,47.27,0.0,0,0
Tiffany,106,AUTO,EASY,typing study,typing study,6114,23.55,0.0,3,4763
Tiffany,107,AUTO,HARD,ukulele rhythm,ukulele rhythm,6067,27.69,0.0,0,0
Tiffany,108,OFF,HARD,bricolage build,bricolage build,4169,43.18,0.0,0,0
Tiffany,109,AUTO,HARD,schadenfreude day,schadenfreude day,8615,23.68,0.0,0,0
